ID	Title	Country	Ctl	MA	Type	Drugs	Primary Endpoint	Population	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48919">ChiCTR2000029468</a>	The early use of lopinavir/litonavir (LPV/r) and emtritabine (FTC)/ Tenofovir alafenamide Fumarate tablets (TAF) regimen in the treatment of the novel coronavirus pneumonia (COVID-19): a real-world study	China	Y	N	Drug Repurposing	Lopinavir/ritonavir, Emtricitabine, Tenofovir alafenamide	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49567">ChiCTR2000030167</a>	Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Drug Repurposing	recombinant human IL-2	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49145">ChiCTR2000029609</a>	A prospective, open-label, multiple-center study for the efficacy of chloroquine phosphate in hospitalized patients with novel coronavirus pneumonia (COVID-19)	China	Y	Y	Drug Repurposing	Chloroquine, Lopinavir/ritonavir	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49146">ChiCTR2000029606</a>	Clinical Study for Human Menstrual Blood-derived Stem Cells in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:MSC	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49831">ChiCTR2000030058</a>	A multicenter, randomized, double-blind, controlled clinical trial for leflunomide in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Leflunomide	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49891">ChiCTR2000030041</a>	A single-arm, single-center clinical trial for Azivudine tablets in the treatment of adult novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	Azvudine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50059">ChiCTR2000030179</a>	Experimental study of novel coronavirus pneumonia rehabilitation plasma therapy severe novel coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49988">ChiCTR2000030113</a>	Clinical study for safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19) with poorly responsive ritonavir/ritonavir	China	Y	N	Drug Repurposing	Favipiravir	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49799">ChiCTR2000030016</a>	Efficacy evaluation of inhalation of mycobacterium vaccae injection for treating Novel coronavirus pneumonia (COVID-19) and the mechanism study of prevention and treatment of respiratory virus infection	China	Y	N	Shelved drug or NME	Mycobacterium vaccae	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49861">ChiCTR2000030046</a>	A single arm trial to evaluate the efficacy and safety of anti-2019-nCoV inactivated convalescent plasma in the treatment of novel coronavirus pneumonia patient (COVID-19)	China	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49619">ChiCTR2000030007</a>	Multicenter randomized controlled trial for rhG-CSF in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	G-CSF	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49824">ChiCTR2000030029</a>	A multi-center study on the efficacy and safety of suramin sodium in adult patients with novel coronavirus pneumonia (COVID-19)	China	N	N	Drug Repurposing	Suramin	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49723">ChiCTR2000030001</a>	The efficacy and safety of Triazavirin for 2019 novel coronary pneumonia (COVID-19): a multicenter, randomized, double blinded, placebo-controlled trial	China	Y	N	Shelved drug or NME	Triazavirin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49777">ChiCTR2000030010</a>	A randomized, double-blind, parallel-controlled, trial to evaluate the efficacy and safety of anti-SARS-CoV-2 virus inactivated plasma in the treatment of severe novel coronavirus pneumonia patients (COVID-19)	China	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50017">ChiCTR2000030170</a>	Study for safety and efficacy of Jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	Jaktinib	Safety	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50004">ChiCTR2000030138</a>	Clinical Trial for Human Mesenchymal Stem Cells in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Shelved drug or NME	ND:MSC	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49510">ChiCTR2000029996</a>	A randomized, open-label, controlled trial for the efficacy and safety of Farpiravir Tablets in the treatment of patients with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Favipiravir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49674">ChiCTR2000029990</a>	Clinical trials of mesenchymal stem cells for the treatment of pneumonitis caused by novel coronavirus (COVID-19)	China	Y	N	Shelved drug or NME	ND:MSC	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49534">ChiCTR2000029851</a>	A multicenter, randomized controlled trial for the efficacy and safety of Alpha lipoic acid (iv) in the treatment of patients of severe novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Alpha Lipoic Acid	Efficacy - Other efficacy	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49889">ChiCTR2000030089</a>	A randomized, open-label, controlled trial for the efficacy and safety of  Adalimumab Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Adalimumab	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49428">ChiCTR2000029803</a>	A prospective, randomized, open-label, controlled clinical study to evaluate the preventive effect of hydroxychloroquine on close contacts after exposure to the Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Hydroxychloroquine, Umifenovir	Efficacy - Infection rate (prevention)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49902">ChiCTR2000030088</a>	Umbilical cord Wharton's Jelly derived mesenchymal stem cells in the treatment of severe novel coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:MSC	Efficacy - Viral load	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49317">ChiCTR2000029740</a>	Efficacy of therapeutic effects of hydroxycholoroquine in novel coronavirus pneumonia (COVID-19) patients(randomized open-label control clinical trial)	China	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49869">ChiCTR2000030054</a>	An open randomized controlled trial for Chloroquine phosphate and Hydroxychloroquine sulfate in the treatment of mild and common novel coronavirus pneumonia (COVID-19)	China	Y	Y	Drug Repurposing	Chloroquine, Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49544">ChiCTR2000030039</a>	Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49812">ChiCTR2000030020</a>	The clinical application and basic research related to mesenchymal stem cells to treat novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	ND:MSC	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49738">ChiCTR2000030002</a>	Clinical study for novel NLRP Inflammasome inhibitor (Tranilast) in the treatment of novel coronavirus (COVID-19)	China	Y	N	Drug Repurposing	Tranilast	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49720">ChiCTR2000029989</a>	A randomized controlled Trial for therapeutic efficacy of Recombinant Human Interferon alpha 1b Eye Drops in the treatment of elderly with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Interferon alpha 1b	Efficacy - Oxygen parameters	Other	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49218">ChiCTR2000029988</a>	Clinical Study of Chloroquine Phosphate in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Chloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50380">ChiCTR2000030442</a>	The therapeutic efficacy of combination of Tocilizumab, IVIG and CRRT in sever patients with novel coronavirus pneumonia (COVID-19)	China	N	N	Drug Repurposing, Cell/Blood based	Tocilizumab	Efficacy - Other efficacy	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50174">ChiCTR2000030424</a>	A single-center, single-arm clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	Azvudine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50173">ChiCTR2000030398</a>	A randomized, double-blind, placebo-controlled trial for evaluation of  the efficacy and safety of bismuth potassium citrate capsules in the treatment of patients with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Bismuth potassium citrate	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50136">ChiCTR2000030262</a>	Clinical study for combination of anti-viral drugs and type I interferon and inflammation inhibitor TFF2 in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Shelved drug or NME	TFF2	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49691">ChiCTR2000030265</a>	Clinical research program of continuous renal replacement therapy with adsorption filter for the treatment of the novel coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:Continuous renal replacement therapy	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49963">ChiCTR2000030261</a>	A study for the key technology of mesenchymal stem cells exosomes atomization in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:MSC	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49883">ChiCTR2000030196</a>	A multicenter, single arm, open label trial for the efficacy and safety of CMAB806 in the treatment of cytokine release syndrome of novel coronavirus pneumonia (COVID-19)	China	N	N	Drug Repurposing	Tocilizumab	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49918">ChiCTR2000030259</a>	Evaluation Danorevir sodium tablets combined with ritonavir in the treatment of novel coronavirus infection (COVID-19): a randomized, open and controlled trial	China	Y	N	Drug Repurposing, Shelved drug or NME	Danoprevir, Ritonavir	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49796">ChiCTR2000030013</a>	A study on the efficacy and safety of recombinant human interferon alpha 1b spray in preventing novel coronavirus (COVID-19) infection in highly exposed medical staffs.	China	Y	N	Drug Repurposing	Interferon alpha 1b	Safety	Exposed individuals (family members, HCP)	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49592">ChiCTR2000029975</a>	Single arm study for exploration of chloroquine phosphate aerosol inhalation in the treatment of novel coronavirus pneumonia (COVID-19)	China	N	N	Drug Repurposing	Chloroquine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49400">ChiCTR2000029761</a>	Multicenter, randomized, open clinical study of Hydroxychloroquine Sulfate tablets in the treatment of common patients with novel coronavirus pneumonia (COVID-19)	China	Y	Y	Drug Repurposing	Hydroxychloroquine	Efficacy - Viral load	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49404">ChiCTR2000029762</a>	A randomized, open-label, controlled trial for the efficacy and safety of hydroxychloroquine sulfate tablets in the treatment of patients with severe novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Viral load	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48782">ChiCTR2000029387</a>	Comparative effectiveness and safety of ribavirin plus interferon-alpha, lopinavir/ritonavir plus interferon-alpha and ribavirin plus lopinavir/ritonavir plus interferon-alphain in patients with mild to moderate novel coronavirus pneumonia	China	Y	Y	Drug Repurposing	Ribavirin, Interferon alpha, Lopinavir/ritonavir	Efficacy - Viral load	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49536">ChiCTR2000029899</a>	Evaluation the Efficacy and Safety of Hydroxychloroquine Sulfate in Comparison with Phosphate Chloroquine in Mild and Commen Patients with Novel Coronavirus Pneumonia (COVID-19): a Randomized, Open-label, Parallel, Controlled Trial	China	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48777">ChiCTR2000029386</a>	A study on treatment strategies of novel coronavirus pnueumonia patients	China	Y	N	Drug Repurposing	Methylprednisolone	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49369">ChiCTR2000029760</a>	A randomized controlled study to evaluate the efficacy and safety of hydroxychloroquine for mild and moderate COVID-19 Infectious diseases	China	Y	N	Drug Repurposing	Hydroxychloroquine, Lopinavir/ritonavir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49482">ChiCTR2000029898</a>	Evaluation the Efficacy and Safety of Hydroxychloroquine Sulfate in Comparison with Phosphate Chloroquine in Severe Patients with Novel Coronavirus Pneumonia (COVID-19): a Randomized, Open-Label, Parallel, Controlled Trial	China	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49790">ChiCTR2000030535</a>	Multi-Center Clinical Study on the Treatment of Patients with Novel Coronavirus Pneumonia (COVID-19) by Ebastine	China	Y	N	Drug Repurposing	Ebastine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50507">ChiCTR2000030487</a>	A single-center, single-arm clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	Azvudine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49753">ChiCTR2000030472</a>	An open and controlled clinical study to evaluate the efficacy and safety of Ganovo combined with ritonavir in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing, Shelved drug or NME	Danoprevir, Ritonavir	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50421">ChiCTR2000030471</a>	Efficacy and safety of lipoic acid injection in reducing the risk of progression in common patients with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Alpha Lipoic Acid	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50727">ChiCTR2000030627</a>	Study on the application of convalescent plasma therapy in severe COVID-19	China	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Viral load	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50258">ChiCTR2000030312</a>	A single-center, open-label and single arm trial to evaluate the efficacy and safety of anti-SARS-CoV-2 inactivated convalescent plasma in the treatment of novel coronavirus pneumonia (COVID-19) patient	China	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=50263">ChiCTR2000030484</a>	HUMSCs and Exosomes Treating Patients with Lung Injury following Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Cell/Blood based	ND:MSC	Efficacy - Oxygen parameters	Other	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49088">ChiCTR2000029580</a>	Severe novel coronavirus pneumonia (COVID-19) patients treated with ruxolitinib in combination with mesenchymal stem cells: a prospective, single blind, randomized controlled clinical trial	China	Y	N	Drug Repurposing, Cell/Blood based	Ruxolitinib, ND:MSC	Safety	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49224">ChiCTR2000029638</a>	A Multicenter, Randomized, Controlled trial for Recombinant Super-Compound Interferon (rSIFN-co) in the Treatment of Novel Coronavirus Pneumonia (COVID-19)	China	Y	N	Shelved drug or NME	rSIFN-co	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49081">ChiCTR2000029757</a>	Convalescent plasma for the treatment of severe and critical novel coronavirus pneumonia (COVID-19): a prospective randomized controlled trial	China	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48684">ChiCTR2000029308</a>	A randomized, controlled open-label trial to evaluate the efficacy and safety of lopinavir-ritonavir in hospitalized patients with 2019-nCoV infection	China	Y	N	Drug Repurposing	Lopinavir/ritonavir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=51118">ChiCTR2000030892</a>	Efficacy and Safety of Pirfenidone in the Treatment of Severe Post-Novel Coronavirus Pneumonia (COVID-19)) Fibrosis:a prospective exploratory experimental medical study	China	Y	N	Drug Repurposing	Pirfenidone	Efficacy - Other efficacy	Severe Cases	
