Page,Compound Name,Clinical name,Clinical provider,Biochemical provider/ZINC/pubchem,Drug Status,Other clinical names,References,Pubchem,Drugbank,Notes,Structure,Group,Human Target,Viral Bait,Mechanism,Affinity (nM),Affinity Type,Covid Trial
22,Sapanisertib,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/45375953#section=Chemical-Vendors&fullscreen=true,Phase I clinical Trial by Takeda (NCT02412722),MLN018,"10.1101/2020.03.22.002386, PMID:29464110",45375953,DB11836,,,,LARP1,N,mTOR inhibitor,1,IC50,
23,Rapamycin,Rapamune,Pfizer,https://pubchem.ncbi.nlm.nih.gov/compound/5284616#section=Chemical-Vendors&fullscreen=true,EMA approved - immunosuppressant reducing risk of kidney transplant rejection,Sirolimus,"10.1101/2020.03.22.002386, PMC7073332",5284616,DB00877,,,,"LARP1, FKBP15, FKBP7/10","N, Nsp2, Orf8",mTOR inhibitor (with FKBP),2,IC50,
23,Zotatifin,-,"No vendor found, contact Effector Therapeutics (info@effector.com)",-,"Phase I - II cancer trial, Effector therapeutics (NCT04092673)",eFT226,"10.1101/2020.03.22.002386, 10.1182/blood.V130.Suppl_1.1530.1530",129138801,,,,,EIF4E2/H,Nsp2,EIF4a inhibitor,1.5,IC50,
23,Verdinexor,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/71492799#section=Chemical-Vendors&fullscreen=true,Phase I trials - Karyopharm Pharmaceutics,KPT-335,"10.1101/2020.03.22.002386, PMC6192554",71492799,DB12207,,,,"NUPs, RAE1","Nsp4, Nsp9, Orf6",XPO1 nuclear export inhibitor,960,IC50,
23,Chloroquine,Plaquenil,Sanofi,https://pubchem.ncbi.nlm.nih.gov/compound/2719#section=Chemical-Vendors&fullscreen=true,Approved - malaria,Aralen,"10.1101/2020.03.22.002386, PMID:32074550",2719,DB00608,,,,SIGMAR1,Nsp6,Sigma 1 binder,100,Ki,
23,Dabrafenib,Tafinlar,Novartis/GSK,https://pubchem.ncbi.nlm.nih.gov/compound/44462760#section=Chemical-Vendors&fullscreen=true,FDA - Approved melanoma,,"10.1101/2020.03.22.002386, PMID:29112787",44462760,DB08912,,,,NEK9,Nsp9,NEK9 inhibitor,1,IC50,
23,WDB002,-,-,"Natural product or derivative thereof, no commercial supplier found",Pre-clinical,-,"10.1101/2020.03.22.002386, PMID:29980357",,,"Three patents filed related to Warp Drive Biology, with synthesis details: WO2016112295, US20180273544, WO2017059207",,,CEP250,Nsp13,CEP250 inhibitor (with FKBP),0.29,KD,
23,Sanglifehrin A,-,NeuroVive have patent for formulation and synthesis,"Modified natural product, no commercial vendors found.",Preclinical,,"10.1101/2020.03.22.002386, PMID:28075591",5388925,DB03393,Patent for formulation (https://pubchem.ncbi.nlm.nih.gov/patent/US9504728 ),,,"PPIA, IMPDH2",Nsp14,PPIA-IMPDH2 modulator,"0.2, 11.5","KD, EC50",
24,FK-506,Advagraf,Astellas,https://pubchem.ncbi.nlm.nih.gov/compound/445643#section=Chemical-Vendors&fullscreen=true,EMA approved- immunosuppressant to prevent organ rejection,"Tacrolimus, Prograf, Advagraf, Protopic",10.1101/2020.03.22.002386,6473866,DB00864,,,,FKBP7/10,Orf8,FKBP binder,,,
24,Pevonedistat,Pevonedistat,Takeda,https://pubchem.ncbi.nlm.nih.gov/compound/16720766#section=Chemical-Vendors&fullscreen=true,EMA approved- Myelodysplastic syndromes,MLN4924,"10.1101/2020.03.22.002386, PMID:25733005",16720766,DB11759,,,,CUL2,Orf10,NEDD8-activating enzyme inhibitor,4.7,IC50,
24,Ternatin 4,-,-,The synthesis is described in the original paper.,Preclinical - translation,,"10.1101/2020.03.22.002386, PMC4786417",-,-,This compound does not seem to be available. The synthesis is described in the original paper.,,,Translation,,eEF1A inhibitor,71,IC50,
24,4E2RCat,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/2287236#section=Chemical-Vendors,Preclinical - translation,,"10.1101/2020.03.22.002386, PMC3126520",2287236,-,,,,Translation,,eIF4E/G PPI inhibitor,13500,IC50,
24,Tomivosertib,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/118598754#section=Chemical-Vendors,Clinical trial - translation,,"10.1101/2020.03.22.002386, PMID:29526098",118598754,DB15219,The synthesis is described in the original paper.,,,Translation,,MNK1/2 inhibitor,2.4,IC50,
24,Compound 2,-,-,The synthesis is described in the original paper.,Pre-clinical (viral transcription),,"10.1101/2020.03.22.002386, 10.1021/acs.jmedchem.8b00802",-,-,This compound does not seem to be available. The synthesis is described in the original paper.,,,Viral Transcription,,Cyclophilin inhibitor,24,KD,
25,Compound 10,-,-,The synthesis is described in the original paper.,Pre-clinical (viral transcription),,"10.1101/2020.03.22.002386, 10.1021/acs.jmedchem.5b01311",-,-,,,,Viral Transcription,,PI4K-IIIβ inhibitor,3.4,IC50,
25,PS3061,-,-,The synthesis is described in the original paper.,Pre-clinical - ER protein processing,,"10.1101/2020.03.22.002386, PMID:30550790",-,-,,,,ER protein processing,,Sec61 inhibitor,20-500,IC50,
25,IHVR-19029,-,-,http://www.probechem.com/products_IHVR-19029.aspx,Clinical trial - ER protein processing,,"10.1101/2020.03.22.002386, PMC5304290",-,-,,,,ER protein processing,,Antiviral activity,1200,IC50,
25,Captopril,Capoten,generic,https://pubchem.ncbi.nlm.nih.gov/compound/44093#section=Chemical-Vendors,Approved - hypertension,,10.1101/2020.03.22.002386,44093,DB01197,ACE inhibitor,,,Cell Entry,,ACE inhibitor,3,Ki,
25,Lisinopril,"Prinivil, Qbrelis, Zestril",generic,https://pubchem.ncbi.nlm.nih.gov/compound/5362119#section=Chemical-Vendors,Approved - hypertension,,10.1101/2020.03.22.002386,5362119,DB00722,ACE inhibitor,,,Cell Entry,,ACE inhibitor,0.27,Ki,
25,Camostat,Foipan,Ono Pharmaceutical,https://pubchem.ncbi.nlm.nih.gov/compound/2536#section=Chemical-Vendors, Approved - pancreatitis,,10.1101/2020.03.22.002386,2536,DB13729,"Potential therapy for COVID-19, with clinical trials in Japan possibly set to begin in March 2020.",,,Cell Entry,,Serine protease 1 inhibitor,<1000,IC50,
25,Nafamostat,Fusan,Torii Pharmaceutica,https://pubchem.ncbi.nlm.nih.gov/compound/4413#section=Chemical-Vendors,Approved - bacterial infection,,10.1101/2020.03.22.002386,4413,DB12598,"Inhibits TMPRSS2, thus blocking cleavage of the viral S protein",,,Cell Entry,,Serine protease 1 inhibitor,100,IC50,
25,Chloramphenicol,,generic,https://pubchem.ncbi.nlm.nih.gov/compound/5959#section=Chemical-Vendors,Approved - bacterial infection,"Pentamycetin, Chloromycetin",10.1101/2020.03.22.002386,5959,DB00446,,,,Mitochondrial ribosome,,Mitochondrial ribosome inhibitor,7400,IC50,
26,Tigecycline,Tygacil,Wyeth,https://pubchem.ncbi.nlm.nih.gov/compound/54686904#section=Chemical-Vendors,Approved - bacterial infection,,10.1101/2020.03.22.002386,54686904,DB00560,,,,Mitochondrial ribosome,,Mitochondrial ribosome inhibitor,3300,IC50,
26,Linezolid,Zyvox,generic,https://pubchem.ncbi.nlm.nih.gov/compound/441401#section=Chemical-Vendors,Approved - bacterial infection,Zyvoxid,10.1101/2020.03.22.002386,441401,DB00601,,,,Mitochondrial ribosome,,Mitochondrial ribosome inhibitor,16000,IC50,
,Human recombinant soluble ACE2,-,-,-,-,-,10.1016/j.cell.2020.04.004,-,-,Target of the spike S protein,,,,,,,,
,Imatinib,Gleevec,generic,https://pubchem.ncbi.nlm.nih.gov/compound/5291#section=Chemical-Vendors,Approved - cancer,Glivec,10.1128/JVI.01429-16,5291,DB00619,Abelson kinase inhibitor,,,,,,,,
,Ivermectin,Stromectol,generic,https://pubchem.ncbi.nlm.nih.gov/compound/6321424#section=Chemical-Vendors,Approved - parasitic infections,,10.1016/j.antiviral.2020.104787,6321424,DB00602,broad-spectrum anti-parasite drug,,,,,,,,
